City,latitude,longitude
Camaldoli,40.6,15.1
Bibbiena,43.7,11.8
Laterina,43.5,11.7
S_Savino,43.2,11.4
Montevarchi,43.5,11.6
Incisa,43.4,11.3
Consuma,43.7,11.6
Stia,43.8,11.7
Vernio,44,11
S_Piero,43.5,11.6
Mangona,44,11.1
S_Agata,37.3,15.4
Cavallina,43.9,11.2
Le_Croci,44,10.9
